Group,Endoplasmic_Reticulum,Mitochondria,Microtubule,Trivalent_Cation_Transport
CTL,-0.19439373,-0.130843114,0.010891848,-0.105571783
CTL,-0.118819511,-0.180653163,0.378226155,0.245430671
CTL,-0.166773766,-0.183540072,0.413698284,0.131171601
CTL,-0.174993399,-0.178224676,0.423498884,0.169886163
PSP,-0.131972086,-0.106096987,0.063249707,0.04069482
PSP,0.203580929,-0.097716272,0.054271898,0.190519842
PSP,-0.005945636,-0.04694112,-0.05507837,0.673705772
PSP,-0.103488111,-0.110123735,0.02729272,0.09482299
PSP,-0.162996022,-0.116914678,-0.030272159,-0.058595739
PSP,-0.054973401,-0.119940132,0.188313977,0.117982767
PSP,-0.04696222,-0.13619699,0.188638957,0.114710298
PSP,-0.14516317,-0.108418886,-0.12718567,-0.200115961
PSP,-0.153345649,-0.114329525,-0.198117185,-0.25599944
PSP,-0.215133507,-0.162399067,0.017540995,-0.067048608
PiD,0.023838632,0.102298516,-0.249159164,-0.217727852
PiD,0.239313649,0.447581957,-0.277152951,-0.225543871
PiD,0.168632055,0.371696897,-0.28518414,-0.24086782
PiD,0.707853413,0.326319654,-0.272389576,-0.234015422
PiD,0.331741529,0.544441393,-0.27108421,-0.17343843