,ABHD12,ACSL6,AHCY,ALDH3A2,ANXA11,ANXA7,APMAP,APOB,APOH,ASNA1,ASPH,ATL3,ATP2A2,B4GAT1,BCAP31,BLVRB,C11orf54,CAB39,CACNA2D3,CALR,CALU,CAND1,CANX,CD163,CES1,CFH,CKAP4,CLIC4,CNPY2,COMT,COPA,CPT1A,CYB5R3,DARS,DHRS7,DPYSL2,EGFR,EHD1,EIF2S3,EMC1,ENDOD1,EPB41L2,EPHX1,ERLIN2,ERO1L,ERP29,ERP44,FAM213A,FBXO2,FGA,FGB,FGG,FKBP2,GANAB,GLG1,GNA11,GNA13,GNPDA1,GSS,HSD17B12,HSD17B4,HSP90B1,HSPA5,HYOU1,ILVBL,IQGAP1,ITGB3,ITPR2,LDHB,LIN7C,LMAN1,LMAN2,LRPAP1,M6PR,MANF,MARCKS,MESDC2,METTL7A,MLEC,MRC2,MYH10,MYH11,MYH9,MYL6,MYO1C,NDRG4,NENF,NPC2,NUCB1,NUCB2,P4HB,PBXIP1,PCYOX1,PDIA3,PDIA4,PDIA6,PEF1,PFAS,PFKM,PFN1,PGK1,PGRMC1,PKM,PLIN3,PLXNB1,PLXNB2,PON2,PPIB,PRDX2,PRDX4,PRKAR1A,PRKCA,PRKCSH,PRKDC,PROSC,PSMA3,PSMB1,PSMB5,PTPRA,PTPRC,PYGL,RAB6B,RABL6,RCN1,RCN2,RFTN1,RPL10A,RPL13,RPL14,RPL15,RPL18A,RPL23A,RPL3,RPL4,RPL6,RPL7,RPL7A,RPL8,RPLP0,RPLP2,RPN1,RPN2,RPS8,RPS9,RUVBL1,RUVBL2,SACM1L,SAR1A,SERPINH1,SH3BGRL2,SNX5,SORL1,SRI,STX4,STXBP3,TGFBI,TMED10,TMED2,TMED9,TMEM43,TMOD2,TSC22D1,TXNDC12,TXNDC5,UGGT1,UGP2,VIM,WDR1,XPO1,XRCC5,XRCC6,ZMPSTE24,Sum
riBAQ.17,0,1.65E-05,0.000343302,0,0.000620818,0.000776786,2.53E-05,1.22E-05,4.40E-05,5.06E-05,0,0,6.86E-05,0,0,0.000159801,3.25E-05,0.000156623,6.15E-05,0.00024483,3.14E-05,0.00031537,0.000130494,0,1.09E-05,0,0,9.83E-05,0,0,0,0,0.000348421,4.06E-05,0,0.011001518,3.81E-05,6.70E-05,2.83E-05,0,3.95E-05,9.72E-05,0.000315473,0,0,4.37E-05,0,7.03E-05,0.000395664,3.20E-05,9.22E-05,8.26E-05,0,5.10E-05,1.59E-05,7.46E-05,0.000254062,7.58E-05,0.000140687,8.70E-05,1.22E-05,0.000110537,0.000202813,0,0,6.70E-06,0,0,0.006046598,0.000120538,0,0,0,0,0,0.002213161,0,7.86E-05,0,0,3.34E-05,7.63E-06,0.000191369,0.000517513,7.43E-06,0.00025987,0,0,2.30E-05,0,0.000121947,1.34E-05,6.55E-05,0.000156052,1.82E-05,3.68E-05,0.000229317,1.22E-05,0.000567515,0.000723779,0.003281883,9.61E-05,0.006667811,0,5.25E-05,3.48E-05,3.55E-05,0.000254993,0.004824175,0,3.40E-05,0.000142913,0,0,1.46E-05,0.000354761,0.000282235,0.000142273,4.81E-05,2.18E-05,0,0.000143273,1.72E-05,0,0,0,0.000167166,6.18E-05,0.000125006,9.15E-05,0.000123725,0.000105409,8.18E-05,7.74E-05,0.000188994,0.000162333,4.47E-05,0,7.80E-05,0,0,0,0.000100857,0.00016456,1.50E-05,0,0,0,0,0.000219153,8.61E-06,2.99E-06,0.001427113,9.31E-05,2.60E-05,0,7.10E-05,0,0,0,0.000367737,0.00011239,0,0,0,0.000246332,7.34E-05,9.06E-05,8.40E-06,0,1.73E-05,0,0.04916881
riBAQ.18,1.68E-05,3.63E-05,0.000259634,0,0.00077495,0.00098784,4.55E-05,7.02E-06,0,9.29E-05,0,0,0.000129462,0,7.59E-05,0.00018448,4.02E-05,0.000170341,2.67E-05,0.00030778,0,0.000241017,0.000129739,0,0,0,0,0.000125884,0,0,0,0,0.000308062,4.82E-05,7.32E-05,0.008987219,4.24E-05,7.93E-05,3.02E-05,0,0.000140199,8.78E-05,0.000399696,0,0,7.37E-05,0,0,0.000510371,0,0,1.77E-05,0,3.38E-05,0,7.75E-05,0.000379065,5.78E-05,0.000101962,7.77E-05,0,0.000124872,0.000172049,0,0,3.84E-06,0,0,0.004369838,0.000169806,0,0,0,0,0,0.00198225,0,7.22E-05,0,0,5.74E-05,0,0.000195796,0.000651665,0,0.000246731,0,0,3.70E-05,0,8.85E-05,4.24E-05,3.29E-05,0.000172989,1.22E-05,3.30E-05,0.000244541,7.47E-06,0.000535631,0.000611851,0.002133035,0.000228207,0.004220659,0,7.19E-05,6.26E-05,4.20E-05,0.000232845,0.003467465,0,0.000128084,0.000170653,3.22E-05,0,5.55E-05,0.000212583,0.000175753,4.59E-05,4.63E-05,3.56E-05,0,9.55E-05,1.75E-05,0,0,2.39E-05,0.000277862,0,0.000142749,0.00012423,0,0,8.77E-05,9.01E-05,0.000212262,0.000186018,6.93E-05,0,8.46E-05,0.000500004,0,0,0,0.00022077,2.13E-05,1.62E-05,1.31E-05,0,0,0.000246274,1.87E-05,0,0.002582371,0.000126391,3.38E-05,0,0,0,0,0,0.000526822,0.000123986,0,0,0,0.000200342,0.000243052,0.00024733,2.19E-05,3.14E-05,5.87E-05,0,0.043048697
riBAQ.35,0,3.01E-05,0.000295558,0,0.000597506,0.000673951,2.87E-05,0,0,8.69E-05,0,0,9.92E-05,0,6.87E-05,0.000157827,0,0.000166652,4.58E-05,0.000200003,0,0.000337129,8.66E-05,0,0,0,0,6.96E-05,1.60E-05,5.04E-05,0,0,0.000209183,3.10E-05,3.61E-05,0.010688367,3.59E-05,5.04E-05,2.87E-05,0,3.36E-05,6.57E-05,0.000208606,0,0,4.73E-05,4.96E-05,6.89E-05,0.000532224,0,0,1.82E-05,0,3.95E-05,1.42E-05,6.68E-05,0.000242151,6.01E-05,0.000111435,5.80E-05,8.68E-06,0.000114644,0.000120523,0,0,0,0,0,0.004513533,0.000106836,0,0,0,6.37E-05,0,0.002495992,0,4.70E-05,0,0,5.48E-05,4.12E-06,0.000159417,0.000656783,0,0.000222732,0,0,0,0,8.03E-05,2.03E-05,4.34E-05,0.000126568,7.60E-06,2.96E-05,0.000238822,1.01E-05,0.000418712,0.000787386,0.002544492,0.000193113,0.004257564,1.28E-05,5.21E-05,3.56E-05,3.07E-05,0.000170605,0.003719642,0,0.000107317,0.000168982,2.27E-05,0,4.67E-05,0.000344231,0.000236801,8.29E-05,5.44E-05,1.32E-05,0,0.000172065,1.70E-05,0,0,4.60E-05,0.000192289,0,0.000128807,0,0,0,5.79E-05,8.41E-05,0.000125183,0.00013045,0,0,5.39E-05,0.000262571,0,0,9.17E-05,0.000154623,1.12E-05,0,9.47E-06,0,0,0.000195211,1.95E-05,2.72E-06,0.001594363,6.13E-05,2.21E-05,0,0,0,0,0,0.000434475,0,0,0,0,0.000216978,0.000477374,0.00024958,1.23E-05,2.35E-05,5.43E-05,0,0.043032946
riBAQ.36,0,1.75E-05,0.000305587,0,0.000619825,0.001043557,3.10E-05,0,0,8.75E-05,0,0,8.64E-05,0,7.55E-05,0.000197317,3.68E-05,0.000139442,2.39E-05,0.00015321,2.05E-05,0.00028956,0.000110315,0,0,0,0,5.07E-05,0,4.55E-05,0,0,0.000248951,4.30E-05,3.64E-05,0.010236153,1.19E-05,4.79E-05,2.75E-05,0,3.45E-05,9.04E-05,0.000242308,0,0,0,0,4.64E-05,0.000521566,0,0,0,0,3.68E-05,9.93E-06,6.59E-05,0.000290525,9.52E-05,0.000140006,6.02E-05,0,9.02E-05,0.00010159,0,0,0,0,0,0.005086874,0.000132481,0,0,0,6.00E-05,0,0.002728241,0,0,0,0,4.81E-05,4.71E-06,0.000136514,0.000403052,0,0.000163558,0,0,2.20E-05,0,5.94E-05,2.13E-05,4.35E-05,9.97E-05,0,0,0.000262434,1.45E-05,0.000559321,0.000640135,0.002708697,0.000198125,0.005011704,0,4.98E-05,3.98E-05,4.67E-05,0.00015641,0.003610707,0,4.54E-05,0.000214265,2.30E-05,0,0,0.000359936,0.000265999,0.000108301,5.29E-05,1.62E-05,0,0.000186972,1.82E-05,0,0,3.31E-05,0.000130858,0,0.0001464,0,0,0,5.22E-05,7.33E-05,0.000161785,0.000157468,0,0,0,0.000205251,0,0,5.82E-05,0.000133383,1.95E-05,1.98E-05,1.12E-05,7.65E-05,0,0.000183077,1.92E-05,0,0.002479074,0.000110588,3.52E-05,0,0,0,0,0,0.000474733,0.000138815,0,0,0,0.000246126,0.000233208,0.00034337,1.33E-05,1.72E-05,4.24E-05,0,0.045025614
riBAQ.19,0,1.29E-05,0.00028291,2.04E-05,0.000790583,0.001360165,4.41E-05,4.54E-06,0,7.01E-05,0,0,8.69E-05,3.43E-05,0,0.000206521,4.55E-05,0.000188114,5.09E-05,0.000466345,2.63E-05,0.000331009,0.000203204,9.16E-06,0,0,0,0.000169398,0,6.48E-05,0,1.45E-05,0.000663784,3.05E-05,0,0.009332257,2.75E-05,6.28E-05,3.56E-05,0,7.81E-05,8.42E-05,0.000528733,5.00E-05,0,5.38E-05,0,0,0.000483303,2.30E-05,5.14E-05,4.36E-05,0,6.97E-05,1.66E-05,8.17E-05,0.000383829,0.000107876,0.000109068,8.83E-05,1.77E-05,0.000204627,0.000274113,2.46E-05,0,1.16E-05,0,0,0.004672524,0.000139755,0,0,0,5.07E-05,5.53E-05,0.003012383,0,0.000163551,0,0,5.23E-05,0,0.00019942,0.000817403,1.55E-05,0.000311929,0,0,1.94E-05,0,0.000221054,0.000104591,6.02E-05,0.000279753,3.50E-05,7.35E-05,0.000390711,1.61E-05,0.000522172,0.00088433,0.00279716,0.000196321,0.00464199,0,8.67E-05,3.28E-05,0.00012998,0.000388487,0.004335,0,0.000128041,0.00011822,9.04E-05,0,3.10E-05,0.000348946,0.00031523,7.01E-05,5.91E-05,5.16E-05,0,0.000111825,1.49E-05,2.79E-05,0,8.50E-06,0.000144541,0,0.000139957,0.000132555,0.00013581,0,6.44E-05,7.68E-05,0.000202065,0.00024173,4.55E-05,0,8.79E-05,0,1.98E-05,0,9.79E-05,0.000213565,0,0,0,0,0,0.000182816,1.65E-05,4.97E-06,0.003141534,0.000138732,2.31E-05,0,7.61E-05,0,0,0,0.000292709,0,0,0,5.07E-06,0.000313823,3.39E-05,0.000122462,9.79E-06,1.29E-05,2.77E-05,0,0.049507344
riBAQ.20,2.52E-05,4.74E-05,0.000294708,8.53E-05,0.001216521,0.001599595,0.000122243,6.90E-06,0,0.000121076,2.44E-05,1.93E-05,0.00026143,4.56E-05,6.25E-05,0.000225683,4.47E-05,0.00011005,2.33E-05,0.001611191,0.000121759,0.000220611,0.000503646,2.10E-05,2.67E-05,4.36E-06,1.45E-05,0.000233388,0.000124711,0.000322459,7.17E-06,3.09E-05,0.001002041,5.75E-05,0.000155492,0.008823171,3.90E-05,8.21E-05,0,5.25E-06,0.000312058,0.000148215,0.001137202,0.000151139,5.49E-05,0.000220263,0.000105909,0.000228863,0.000582786,2.43E-05,4.85E-05,5.91E-05,0.000205701,0.000187006,3.79E-05,0.000139195,0.000455407,6.50E-05,0.000100695,0.000201575,3.62E-05,0.000432914,0.00055872,5.46E-05,3.25E-05,1.29E-05,0,8.43E-06,0.004524409,0.000148115,5.33E-05,7.09E-05,4.96E-05,0.000118358,9.63E-05,0.002945871,0.000145305,0.000345493,6.04E-05,0,8.10E-05,2.42E-05,0.000307534,0.001246469,1.85E-05,0.000198445,5.56E-05,0.000119098,7.02E-05,2.29E-05,0.000455386,0.000322089,0.000157007,0.000728874,9.72E-05,0.000212366,0.000309099,0,0.000335512,0.000752918,0.002224324,0.000380777,0.004477886,5.21E-05,7.81E-05,7.60E-05,0.000416495,0.000904299,0.003314078,8.31E-05,0.000176819,0.000180732,0.000209962,3.99E-06,5.83E-05,0.000257176,0.000148044,6.76E-05,7.07E-05,5.27E-05,0,8.34E-05,0,6.66E-05,0.000102146,2.77E-05,0.000452135,0.000107524,0.00028524,0.000255817,0.000327886,0.000232072,0.00021682,0.000171719,0.000426149,0.000463617,0.00014246,0.000139593,0.00022542,0.000916605,6.93E-05,4.39E-05,0.000198957,0.000339468,2.81E-05,1.24E-05,1.77E-05,7.65E-05,3.71E-05,0,2.50E-05,1.65E-05,0.003955595,0.000160273,4.21E-05,2.52E-05,0.000190378,7.53E-05,7.19E-05,2.71E-05,0.000272577,0,4.22E-05,3.63E-05,1.34E-05,0.000207614,0.000125963,0.000288099,2.15E-05,0.000199199,0.000292809,1.50E-05,0.062220798
riBAQ.21,0,1.54E-05,0.000315314,1.92E-05,0.001103438,0.001472929,8.97E-05,3.39E-05,2.32E-05,0.000108771,0,0,0.000135787,2.97E-05,5.19E-05,0.000226124,0,0.000141982,4.07E-05,0.000394619,5.38E-05,0.000326287,0.000255224,1.01E-05,0,8.90E-06,2.25E-06,0.000131179,3.14E-05,0.000105181,5.40E-06,0,0.000703786,3.78E-05,9.07E-05,0.009119946,3.59E-05,5.92E-05,2.36E-05,0,0.000107072,0.000108101,0.000640872,6.59E-05,2.22E-05,5.44E-05,5.63E-05,0.000121428,0.000617039,5.71E-05,0.000128789,0.000132971,0,0.000127982,2.13E-05,6.85E-05,0.000411532,9.02E-05,8.13E-05,0.000107639,1.95E-05,0.000163262,0.000220055,2.25E-05,0,1.06E-05,1.08E-05,0,0.004417676,9.23E-05,0,0,0,7.53E-05,0,0.002227675,0,0.000179475,0,0,0.000120706,2.23E-05,0.00043803,0.001794901,2.30E-05,0.00028379,0,0,2.56E-05,0,0.000178095,8.10E-05,8.30E-05,0.000237427,2.57E-05,6.58E-05,0.000356837,1.09E-05,0.000436364,0.000632582,0.002200733,0.000192672,0.004277785,2.16E-05,0.000116998,8.37E-05,0.000239414,0.00026133,0.003384258,3.32E-05,0,0.000192809,8.68E-05,2.99E-06,0,0.000388439,0.000369453,0.000147722,6.67E-05,4.68E-05,0,9.79E-05,0,3.93E-05,4.45E-05,0,0.000461826,0.000131087,0.000259321,0.000325921,0.000272088,0.000260398,0.000241398,0.000173384,0.000475889,0.000527923,0.000142674,0.000170793,0.000293331,0.001080789,2.65E-05,0,0.000215962,0.000358803,3.99E-05,2.72E-05,0,6.89E-05,0,0,2.15E-05,7.31E-06,0.003054995,0.000177151,2.88E-05,2.57E-05,0,0,0,0,0.000365838,0,0,0,0,0.000259298,0.000221754,0.000156297,2.16E-05,6.41E-05,9.45E-05,0,0.05282715
riBAQ.22,0,1.13E-05,0.000352065,0,0.000983909,0.000927892,6.89E-05,8.00E-06,3.94E-05,6.46E-05,0,0,9.70E-05,0,0,0.000167207,5.76E-05,0.000149065,3.07E-05,0.000432046,4.52E-05,0.00033668,0.000150586,6.91E-06,0,6.54E-06,0,0.000173432,3.13E-05,4.88E-05,0,0,0.000461718,5.54E-05,0,0.009960281,3.55E-05,4.27E-05,4.14E-05,0,8.22E-05,0.000107329,0.000511629,3.32E-05,0,8.98E-05,4.46E-05,6.70E-05,0.000840891,2.21E-05,3.84E-05,5.19E-05,0,8.54E-05,1.78E-05,4.88E-05,0.000423284,0.000106893,0.000119613,8.93E-05,1.25E-05,0.000159451,0.000272668,1.90E-05,1.15E-05,1.19E-05,0,0,0.005404158,0.000104856,0,0,0,5.74E-05,6.50E-05,0.002033451,0,0.000130957,0,0,4.66E-05,0,0.000240542,0.000692012,8.37E-06,0.000237157,0,0,2.10E-05,0,0.000201455,0.000100406,3.53E-05,0.000211166,4.22E-05,8.43E-05,0.000242947,9.69E-06,0.000595517,0.000704619,0.00242865,8.60E-05,0.005346157,3.14E-05,0.000124742,4.17E-05,0.000156963,0.00034538,0.004180644,0,6.37E-05,0.000230987,8.29E-05,2.01E-06,2.27E-05,0.000291293,0.000238805,7.48E-05,4.46E-05,6.36E-05,5.45E-06,0,1.42E-05,3.25E-05,4.45E-05,0,0.000206538,0,0.000171158,0.000178044,0,0.000158059,0.000170162,0.000122669,0.000194657,0.000357988,7.24E-05,6.77E-05,0.000119152,0.00048736,3.03E-05,0,0.00014408,0.000252737,2.25E-05,1.35E-05,0,0,0,0.000244553,2.33E-05,4.72E-06,0.002315732,0.000121484,2.78E-05,0,7.20E-05,0,0,0,0.000524939,8.94E-05,0,0,0,0.000265626,0.000187755,0.000123884,2.07E-05,2.50E-05,3.05E-05,0,0.05012247
riBAQ.23,0,1.03E-05,0.000352976,3.97E-05,0.000668386,0.000749256,5.56E-05,3.51E-06,2.51E-05,6.09E-05,0,0,7.23E-05,0,4.64E-05,0.000192884,0,0.000149645,4.54E-05,0.000426849,4.41E-05,0.000316354,0.000149298,1.20E-05,8.40E-06,0,0,0.000208983,0,0,0,8.34E-06,0.000343777,2.88E-05,4.37E-05,0.012211893,3.02E-05,6.66E-05,2.72E-05,0,4.79E-05,9.28E-05,0.000513154,5.25E-05,0,5.71E-05,5.00E-05,0,0.000563759,9.51E-06,1.70E-05,3.10E-05,0,8.08E-05,1.46E-05,8.41E-05,0.000289359,9.82E-05,0.000126409,7.25E-05,1.46E-05,0.000172843,0.000187672,0,0,7.78E-06,0,0,0.00625212,0.000126089,0,0,1.93E-05,4.52E-05,0,0.003168583,0,0.000129745,0,0,5.47E-05,7.47E-06,0.000186126,0.000666217,1.04E-05,0.000257505,3.10E-05,0,2.24E-05,0,0.000172469,6.82E-05,6.16E-05,0.000226789,2.99E-05,7.21E-05,0.000226713,8.21E-06,0.000451772,0.000842168,0.002962964,0.000110637,0.006273816,3.26E-05,5.74E-05,3.51E-05,6.60E-05,0.000295564,0.004560191,3.12E-05,5.68E-05,0.000174134,8.06E-05,0,0,0.000315209,0.000281316,9.53E-05,6.08E-05,3.44E-05,0,0.000154505,0,4.42E-05,3.53E-05,0,7.95E-05,0,0.000105088,0,0,0,6.84E-05,5.86E-05,0.000154245,0.000155633,0,0,2.58E-05,0,2.00E-05,0,5.68E-05,0.000154342,1.70E-05,1.10E-05,0,0,0,0.00020633,1.50E-05,5.58E-06,0.001926078,9.25E-05,1.99E-05,0,0,0,0,0,0.000391334,0.000114634,0,0,4.93E-06,0.000330022,8.46E-05,0.00011414,9.18E-06,3.82E-05,4.64E-05,0,0.052182485
