Astrocytes,Microglia,Neuron,Oligodendrocytes,Endothelia
GOLGB1,FAM83G,EPHB6,HSPA12A,HSPA12B
GPAM,FBLIM1,EPM2AIP1,HTR5A,HSPB1
GPATCH2,FBRS,ERC2,HYPK,HSPB8
GPC4,FBXW4,ERI1,IBSP,HSPG2
GPD2,FCER1G,ERO1B,CILK1,HTRA3
GPM6A,FCGR1A,ESRRG,IFFO1,HYAL2
GPM6B,FCGR2B,EXOSC4,IFIT2,ICAM2
GPR156,FCGR2A,EYA2,IGF2,IFI44
GPR179,FCGR3A,EZH2,IGF2BP2,IFIH1
GPR19,FCGRT,RAMAC,IGSF8,IFITM2
GPR3,FCRL1,TCAF1,IGSF9B,IFITM3
GPR37L1,FERMT3,FAM117B,IL17D,LMNTD1
PTGDR2,FES,FAM120B,IL17RB,IFNAR1
ADGRG1,FEZ2,AMER3,IL1RAP,IGBP1
GPR63,FGD2,FAM131A,IMP4,IGF1R
GPRC5D,FGR,C1QTNF12,INF2,IGFBP1
GPT,FHL3,ALKAL2,INHBC,IGFBP7
GPX8,FIGNL2,SHISAL2B,INPP5B,IGSF5
GRAMD4,FKBP5,FAM163B,INPPL1,IL13RA1
GREB1,FLCN,ZC2HC1A,INSC,IL15
GRHL1,FMNL3,FAM171A2,IQCJ,IL17RC
GRIN2C,FNDC7,FAM185A,IRS2,IL17RE
GRM5,FNIP2,FAM189B,ISG20,IL1R1
GSG1L,FOLR2,INSYN2A,ITGA8,IL27RA
GSTK1,FOXP4,TLCD3B,ITGAD,IL2RG
GSTM5,FPR1,RIPOR2,ITGAV,IL3RA
GSTM3,FRRS1,FAM71E1,ITGB4,IL6
GSTZ1,FSCN1,FAM78B,ITGB7,IMPDH1
GUCY1A1,FTL,FAM89B,ITIH2,INSL3
GULP1,FUCA1,FANK1,ITIH5,INSR
LARGE2,FURIN,FASTKD5,ITPR2,IPMK
GYS1,FYB1,FAT2,JAM3,IQCG
HACL1,GAB2,FAT3,JMY,IQGAP1
HADH,GABRD,FBXL16,JOSD2,IRF7
HADHA,GADD45B,FBXL19,KANK1,IRF9
HAPLN1,GAL3ST4,FBXL2,KATNAL1,IRX3
HECTD2,GALK2,FBXO30,KAZN,ISM1
HEPACAM,GALM,FBXO41,KCND2,ISYNA1
HERC6,GALNS,FCHSD1,KCNH8,ITGA1
HES5,GALNT12,FGF13,KCNIP3,ITGA2B
HEY2,GAS6,FIBCD1,KCNJ16,ITGA4
HHIPL1,GATM,FIBIN,KCNK1,ITGB1
HIF3A,GBA,FKBP11,KCNK10,ITGB3BP
H3C4,GBGT1,FKBP1B,KCNMB4,ITM2A
H3C11,GBP7,FKBP3,KCTD13,ITPR1
HMGCR,GCN1,FLRT3,KCTD15,ITPRIP
HOGA1,GCNT1,FLYWCH1,KHDRBS2,ITSN2
RIDA,GDA,FLYWCH2,KIF13A,JAG1
HS3ST3A1,GDF15,FMN1,KIF13B,JAG2
HS3ST3B1,GDPGP1,FNBP4,KIF18B,JAK2
HSD11B1,GGA2,FNDC3B,KIF19,AJUBA
HSPA2,GGH,FOXG1,KIF2C,KANK3
HTRA1,GGT5,FOXJ3,KIF5A,KANK4
HYAL1,GIMAP1-GIMAP5,FOXK2,KIFC1,KCNA5
ID3,GIT2,FOXO3,KL,KCNE3
ID4,GLA,FOXO6,KLC3,KCNG2
IDI1,GLB1L,FRAT1,KLHDC4,KCNJ14
IFT122,GLIPR1,FRMPD3,KLHL13,KCNJ15
IFT140,GLS,FRMPD4,KLK6,KCNJ2
IGDCC4,GLUL,FSIP1,KNDC1,KCNJ8
IGF2BP3,CSTA,FSTL4,KNTC1,KCNK5
IGFBP2,GMFG,FUT7,KRT1,KCNMB1
IGFBP5,GMIP,FXYD7,KRT17,KCNQ1
IGSF1,GMPR,GABRA1,AFG1L,KCNRG
IKBIP,GNA15,GABRA5,LAD1,KCP
IL15RA,GNGT2,GABRB2,LARP6,KCTD10
IL17RD,GNPDA1,GABRG2,LBH,KDR
IL18,GNS,GABRG3,DENND11,KIF26A
IL33,GOLM1,GAD1,LCORL,KITLG
IL6ST,LILRB4,GAD2,LDB3,KLF11
IMMT,GP9,GALNTL6,LDLR,KLRG1
IMPA2,GPAT2,GALR1,P3H4,KTI12
IMPG2,GPATCH3,GALR2,LGI3,LALBA
INCA1,GPNMB,GAP43,LGR5,LAMA1
INO80D,ADGRG5,GARNL3,LHFPL3,LAMA4
INPP5J,GPR132,CASTOR2,LIG1,LAMA5
INSIG1,GPR137B,GBX2,LIMS2,LAMB1
INTU,GPR157,GCA,LINGO3,LAMB2
IQCD,GPR18,GCGR,LLPH,LAMC1
IQCK,GPR183,GDA,LMCD1,LBP
IQUB,GPR34,GDAP1,LMNB1,LDHA
IRS1,GPR35,GDF5,LMO1,LDLRAD3
IRS2,GPR65,GDI1,LNX1,LEF1
ITGA2,C5AR2,GDNF,LOX,LEPR
ITGA6,GPR84,GDPD1,LPAR3,LIMS1
ITGA7,GPSM3,GEMIN7,ADGRL3,LIPC
ITIH3,GPX1,GFRA4,LPO,LIPT2
ITIH5,GRAMD1A,GHSR,LRFN2,LMBR1
ITM2C,GRB2,GIPC2,LRRC17,LMO2
ITPKB,GRN,GIPR,LRRC42,LNX2
ITSN1,GSDMD,GJD2,LRRC4C,LOXL2
IVD,GSG1,GLB1L2,LRRC8B,LPAR6
IYD,GUCA1A,GLCE,LRRN1,ADGRL2
JAK1,GUSB,GLIS1,LRRN3,LRP8
JAM2,HLA-DQA1,GLOD5,LRRTM1,LRRC18
JUN,HLA-A,GLRA2,LRRTM3,LRRC32
KALRN,HLA-DMB,GLRA3,LRRTM4,LRRC55
KANK2,HLA-DRA,GNAQ,LSAMP,LRRC8C
KBTBD11,HLA-DRB5,GNAZ,LTK,NAA38
KCNC4,HLA-DOA,GNG2,LUM,LSR
KCNE5,HLA-DOB,GNG3,LYPD1,LTA4H
KCNJ10,H6PD,GNL3L,LYPD3,LTBP4
C5orf15,HAAO,GNRH1,LYPD6,LUZP1
KCTD14,HAVCR2,GOLGA7B,MACROD2,LY75
KCTD5,HCK,GPC1,MAFA,LYPLA1
KDM5D,HCLS1,GPR101,MAG,LYSMD3
KIDINS220,HCST,GPR12,MAGEH1,LZTS1
KIF18A,HDC,ADGRA1,MAGI2,MAGIX
KIF1B,HEATR5A,GPR135,MAL,MALL
KIF1C,MROH1,GPR139,MAP1A,MALT1
KIF24,HEBP1,GPR149,MAP1LC3B,MAMSTR
KIRREL2,HERPUD1,GPR151,MAPK8IP1,MAN2A1
KLF15,HEXA,GPR173,MAPKAP1,MANSC1
KLF4,HEXB,GPR22,MAPT,MAOA
KLHDC8B,HFE,GPR52,MARVELD3,MAP4K2
KLHL25,HGSNAT,GPR6,MATN1,MAPK12
KRTAP7-1,HK2,GPR61,MATN2,MARVELD1
L2HGDH,HK3,ADGRG2,MATN4,MARVELD2
L3HYPDH,HLTF,GPR83,MB21D2,MBD2
L3MBTL3,HMGA1,GPR88,MBNL2,MECOM
LAMA2,ARHGAP45,GPRASP1,MBP,MEF2A
LATS1,HMOX1,GPRIN1,MC4R,MEGF6
LCA5,HP,GPRIN3,MC5R,MEOX1
LCAT,HPGD,GPSM1,MCF2,TLNRD1
LCLAT1,HPGDS,GRAMD1A,MCM10,MFSD2A
LDOC1,HPN,GRAMD1B,MCM5,MFSD6L
LENG8,HPRT1,GREB1L,MCM6,FLVCR2
P3H1,HPS4,GREM2,MDK,MGP
LGALS12,HPS6,GRIA1,MDM1,MGST2
LGALS4,HPSE,GRID2IP,ME3,MICB
LGALSL,HRH2,GRIN1,MEGF11,MIPOL1
LGI4,HS1BP3,GRIN2A,MICAL3,MRTFB
LGR4,HS6ST1,GRIN2B,MICALL1,MLKL
LGR6,HSD17B1,GRIN2D,MIF4GD,AFDN
LHCGR,HSF2BP,GRIP2,MINK1,MMP25
LHFPL6,HSPA1A,GRM1,MKX,MMP28
LIFR,HSPA1L,GRM7,MMP16,MMRN1
LIMCH1,HSPB3,GRM8,MMP17,MMRN2
LIMD1,HTATIP2,GRPR,MMP23B,MOGAT2
LINGO1,HTRA2,GSC,MOBP,MOSPD1
LIPG,HVCN1,GSE1,MOG,MPP1
LIPT1,ICAM1,GTF2E1,ATP5MPL,MPP7
LIX1,ICOS,GUCY1A2,MPZ,MPRIP
LONRF3,ICOSLG,GXYLT2,MRGPRF,MSRB3
LOXL1,ID2,H1-10,MRPS18B,MSX1
LPIN3,IDH2,HAS3,MSC,MTFR1
LPP,IDS,HAUS3,MTAP,MTMR6
LRCH3,IDUA,HCN4,MAP4,MTUS1
LRIG1,IER3,HCRTR2,MTMR7,MUC13
LRP4,IER5,HDGFL3,MYBL1,MUSTN1
CARMIL1,IFI35,HDX,MYBPC1,MYCT1
LRRC23,IFNB1,MROH7,MYCL,MYH10
LRRC38,IFNGR1,HECW1,MYLK3,MYL4
LRRC52,IGF2BP3,HELLS,MYO1D,MYL6
LRRC8A,IGSF6,HEXIM2,MYRF,MYL9
LRRK2,IKZF1,HFM1,MYT1,MYLK
LRTM2,IL10,HIRIP3,NAP1L5,MYLPF
LTBP1,IL10RA,HMG20A,NAV2,MYO1B
LXN,IL16,JPT1,NCALD,MYO1E
MAGT1,IL17RA,HOMER2,NCAM2,MYOF
MAMDC2,IL1A,HOOK1,NCEH1,N4BP3
MAMDC4,IL1B,HOOK2,NDRG1,NAALAD2
MAOB,IL1R2,HP,NECAB2,NAMPT
MAP2,IL1RL1,HPCA,NEFH,NCAPH
MAP4,IL1RL2,HRH3,NEFL,NCK1
MAPK4,IL1RN,HS3ST5,NELL2,NDUFA4L2
MTARC2,IL21R,HS3ST6,NEO1,NET1
MASP2,IL27,HS6ST3,NEU4,NID1
MAST4,IL2RB,HSPA12A,NEUROG2,NID2
MAVS,IL4I1,HTR1A,NFASC,NLRC3
MBOAT2,IL4R,HTR1B,SAPCD1,NME2
MCC,IL6R,HTR1D,NGB,NMI
MCEE,ILDR1,HTR1F,NHSL2,NOD1
MDM4,INPP4B,HTR2C,NINJ2,NODAL
MDN1,INPP5D,HTR3A,NKAIN1,NOMO1
MED12,IP6K3,HTR7,NKX2-2,NOS2
MED12L,IRAK2,HYLS1,NKX2-8,NOS3
MED7,IRAK4,ICA1L,NLGN3,NOSTRIN
MEGF10,IRF1,IDS,NMNAT2,NOTCH4
MFAP3L,IRF4,IGF1,NMRAL1,NOTUM
MFGE8,IRF5,IGF2BP2,NOB1,NOX4
MGA,IRF8,IGF2R,NOL3,NOXO1
MICAL1,ACOD1,IGFBPL1,NPSR1,NPR1
MICALL2,ISCU,IGSF3,NPTX2,NPR3
MID1IP1,ISG15,IGSF8,NRDC,NR1H3
MIER3,ITGA6,IGSF9,NRG2,NRBP1
MINK1,ITGAE,IL12A,NRTN,NRIP1
MKS1,ITGAL,IL1RAPL2,NTN1,NRP1
MLC1,ITGAM,INA,NUDT17,NSA2
KMT2C,ITGAX,INCENP,NUDT18,NSMCE1
MMAB,ITGB2,ING1,NUDT8,NT5DC1
MMD2,ITGB3,INHA,NUF2,NUBPL
MORC3,ITGB5,INPP5F,NUP210,NUDT14
MPC1,ITPKC,INPP5J,NXPH1,NUP37
MPDZ,ITPR3,INSL5,ODF3L2,NXN
MPP5,ITPRIPL1,INSM1,OLFM2,OAS1
MPP6,JAK3,INSM2,OLIG1,OCLN
MRAS,JDP2,INSRR,OLIG2,ODC1
MSI2,JUNB,IPCEF1,OMP,ODF3B
MSX2,KCNAB1,IQCB1,OPCML,OFD1
MAP7D3,KCNK12,IQSEC3,OSBPL6,OGN
MTERF1,KCNK6,IRS1,OTUD7B,OSBPL9
MTERF4,KCNN4,IRX2,PACS2,OSMR
MTHFD1,KCTD12,ISL1,PALM2AKAP2,OSTC
TESMIN,KDM6B,ISLR,PANK3,P2RY14
MTM1,KHK,ISLR2,PAPSS1,PAK1IP1
MTMR11,KIF15,NMRK2,PARVB,PALMD
MTX3,KLHDC8B,ITGBL1,PBK,PAPLN
MMUT,KLHL36,ITPKA,PCBD1,PAQR5
MYH11,KLHL38,JAKMIP1,PCBP4,PARD6G
MYH14,KLRB1,JPH4,PCDH15,PARP9
MYH15,KLRD1,KALRN,PCDH20,PAWR
MYH6,KRT31,KAT5,PCDH7,PCDH1
MYLK2,LACC1,KAZALD1,PCMTD2,PCDH12
MYO10,LACTB2,KCNA4,PCNX3,PCDH19
MYO19,LAG3,KCNB2,PCOLCE,PCDHGB3
MYO6,LAIR1,KCNC1,PCP4,PDCD10
MYOM3,LAMP2,KCNC2,PCSK1N,PDE2A
MYRIP,LAPTM5,KCNG1,PCYT2,PDE5A
NAA16,LASP1,KCNG3,PDCD4,PDE7B
NACC2,LAT,KCNH1,PDE4B,PDGFD
NADK,LAT2,KCNH4,PDGFRA,PDIA5
NADK2,LBX1,KCNH7,PDLIM2,PEAR1
NAPRT,LBX2,KCNIP2,PDZRN4,PECAM1
NAT8,LCN2,KCNIP4,PELI1,PGLYRP1
NCAM1,LCP1,KCNJ11,CPQ,PGM1
NCAN,LCP2,KCNJ3,PHF12,PGM5
NCKAP5,LDB1,KCNJ5,PHF6,PHACTR2
NDE1,LDHB,KCNK9,PHLDA3,PHACTR4
NDP,LEFTY1,KCNMB2,PHLDB1,PHF7
NDRG2,P3H2,KCNQ2,PHOSPHO1,PHLDB2
NEK8,LFNG,KCNQ5,PID1,PIK3R6
NEXN,LGALS1,KCNS1,PIGQ,PIP5K1A
NFXL1,LGALS3,KCNS2,PIGZ,PIP5K1B
NGEF,LGALS3BP,KCNT1,PIK3R3,PIR
NHSL1,LGALS8,KCTD15,PINK1,PKN3
NIPAL1,LGALS9B,KCTD8,PKD2L1,PLA1A
NLRX1,LGMN,KDM2B,PKIA,PLA2G2F
NMB,LIF,KDM4A,PLAAT3,PLEKHG5
NME7,LILRA5,KDM4B,PLCB1,PLEKHH2
NOTCH1,LILRB3,KDM5A,PLEKHA1,PLK2
NOTCH2,LIMD2,KDM5B,PLEKHB1,PLP2
NOTCH3,LIMK1,KHDC4,PLEKHH1,PLS3
NPAS2,LIPA,KIAA1109,PLEKHM1,PLTP
NPAS3,LIPH,KIF11,PLEKHN1,PLVAP
NPFF,LITAF,KIF17,PLIN3,PLXND1
NPHP3,LPAR5,KIF21B,PLK1,PNPLA6
NPHS1,LPCAT2,KIF22,PLOD2,PNRC2
NPS,LPCAT3,KIF4A,PLP1,POLK
NQO1,LPXN,KIF5C,PLXNB3,POLR2K
NR1D1,LRCH1,KIFC2,PNLIP,POMC
NR2E1,LRCH4,KIFC1,PODN,POMP
NR2F1,IRAG2,KISS1R,POLG,POP5
NR3C2,LRP5,KIT,PLPP4,POU2AF1
NR4A1,LRRC25,KLC2,PPFIA3,PLPP6
NR4A2,LRRC3,KLF12,PPFIBP1,PPEF1
NR4A3,NRROS,KLF8,PPFIBP2,PPIC
NRARP,LRRC39,KLHDC8A,PPM1E,PPM1J
NRCAM,LRRFIP1,KLHL1,PPP1R14C,PPP1R13B
NRXN1,LRRK1,KLHL12,PPP1R16B,PPP1R2
NSDHL,LRWD1,KLHL14,PPP2R3A,SLC66A2
NTRK3,LSM10,KLHL29,PPP3R2,PRAMEF8
NTSR2,LSM5,KLHL33,PPP4R4,PRCP
NUDT12,LSP1,KLHL34,DESI1,PREP
NUDT19,LTB,KMT2A,PRC1,PREX2
NUDT2,LTB4R,KMT2B,PRELP,PRICKLE3
NUDT7,LTC4S,KRT73,PREPL,CAVIN3
NUP93,LTF,KRT79,PRICKLE1,PRKCH
NVL,LY6D,KSR1,PRIM1,PRKD2
NWD1,LY86,KSR2,PRIM2,PRND
OAT,LY9,L1CAM,PRKCB,PROCR
ODF2L,LYL1,L3MBTL1,PRKCQ,PROM1
ODF3,LYN,L3MBTL4,PRKG1,PROP1
TENM3,LYVE1,LAMA3,PRKG2,PRRG2
OLFML1,LYZ,CERS6,PROKR1,PSMA8
OPLAH,MAFB,LEFTY2,PRPH,PSMC3IP
OPTC,MAN1C1,LGALS7,PRR11,PSORS1C2
OSR2,MAN2B1,LGI2,PRR18,PTGES
OTX1,MAN2B2,LHFPL1,PRR5L,PTGFRN
OVOL1,MANBA,LHFPL4,PRSS41,PTGIS
OXA1L,MAP2K3,LHFPL5,PRSS50,PTGS2
P2RX6,MAP3K14,LHX1,PSIP1,PTPN12
P4HA2,MAPK13,LHX5,PSRC1,PTPRB
P4HA3,MAPK14,LHX6,PTER,PTPRG
PABPC4L,MAPKAPK2,LHX8,PTGER2,PTPRK
PACSIN3,MAPKAPK3,LHX9,PTK7,PTPRM
PALLD,MATK,LIG1,PTOV1,CAVIN1
PAMR1,MBNL1,LIMK2,PTPDC1,RAB11FIP1
PAPSS2,MCOLN2,LIN28B,PTPRO,RAB12
PAQR4,MED11,LINGO2,PUS7,RAB13
PAQR6,MEF2C,LMNA,PUS7L,RAB42
PAQR7,METTL7A,LMTK3,PVALB,RAB29
PAQR8,MFSD11,LMX1A,PYCR1,RAD51AP1
PARD3B,MFSD5,LONRF1,QDPR,RAD51B
PARP12,MGAT1,LONRF2,QPCT,RAI14
PARP3,MGAT2,LPGAT1,R3HDM1,RALY
PARVA,MGMT,ADGRL1,RAB27B,RAP1B
PAX4,MKNK1,LRCH2,RAB33A,RAPGEF5
PBXIP1,MKNK2,PIDD1,RAB37,RAPGEF6
PCDH10,MLEC,LRFN5,RAB39B,RASD1
PCDHGC5,MLLT6,LRIG3,RAB4A,RASGRP3
PCSK9,MLPH,CARMIL3,RABGAP1L,RASIP1
PC,MLXIPL,LRRC24,RAC3,RASSF1
PDE1B,MMP12,LRRC26,RACGAP1,RASSF3
PDE3A,MMP19,LRRC3B,RAD51,RASSF9
PDE9A,MMP9,LRRN4CL,RAD54L,RBMS2
PDGFC,MNT,LSM11,RALGPS1,RBP1
PDGFRB,MOB1A,LSM14B,RAP1GAP,RBP7
PDK4,MOB3C,LUC7L,RAP1GAP2,RBPMS
PDLIM4,MOGS,LY6G6C,RAP2A,RD3
PDLIM5,MORC3,LY6H,RAPGEF1,RDM1
PDP2,MOV10,LYPD6B,RAPGEF4,REC8
PDPN,MPEG1,LYRM7,RASGRF1,REM1
PDSS1,MPI,MAB21L3,RASL12,RET
PDYN,MPO,MADD,RCN1,RGL1
PDZD11,MRC1,MAGEE1,RECQL,RGS12
PDZRN3,MRGPRX3,MAGEL2,RFC3,RGS3
PEAK1,MS4A6A,MAL2,RFTN1,RGS5
PER3,MS4A7,MAML3,RGS6,RHOBTB1
PEX2,MSH5,MAP3K12,RHBDL2,RHOD
PFKM,MSN,MAP3K15,RHOU,RHOJ
JADE1,MSR1,MAP3K4,RHPN2,RIPK1
PHF21B,MAP1S,MAP3K9,RICTOR,RIPPLY3
PHGDH,MTHFR,MAP4K3,RIMBP3,RMND5B
PHKA1,MTHFS,MAP9,RIPPLY2,RNF144B
PHKB,MTR,MAPK8,RLBP1,RNF183
PHKG1,MVP,MAPK8IP2,RND2,RNF19A
PHYHIPL,MXRA8,MAPK9,RNF122,ROBO4
PIGM,MYADML2,MAPT,RNF128,ROCK2
PIKFYVE,MYBPC3,MARCHF11,OBI1,PTBP3
PIPOX,MYBPH,MARCHF4,RNF220,RPAP3
PKD2,MYC,MARK1,RNF43,RPF1
PKDREJ,MYD88,MAST1,RNF7,RPH3AL
PKP2,MYH9,MBLAC2,ROCK1,RPL17
PLA2G3,MYL2,MCHR1,ROGDI,RPL23
PLA2G5,MYLIP,MCTP1,RPRM,RPL27
PLA2G7,MYO18B,MCTP2,RRAS2,RPL31
PLAGL1,MYO1F,MDGA1,RRM1,RPL35
PLCB3,MYO1G,MECP2,RRM2,RPL37
PLCD4,MYO7A,MED10,RSAD2,RPL38
PLCH1,MYOM1,MED14,RTKN,RPL4
PLD2,N4BP2L1,MEI4,RUNX2,RPS18
PLEC,NAAA,MESP2,RXRG,RPS24
PLOD2,NAB2,MET,RYR3,RPS27L
PLS1,NAGA,MEX3A,S100A1,RPS6KA3
PLSCR1,NAGK,MEX3D,S100A13,RPS7
PLXNB1,NAGLU,MGAT4C,S100A14,RPSA
PLXNC1,NAGPA,MGAT5,S100A16,RRAS
PM20D1,NAIP,MGST3,S100A3,RTP4
PMM1,NAPSA,MIA,S100A4,RXFP4
POLR3G,NAT1,MICAL2,S1PR5,SAMD9L
POMT1,NAT9,MINPP1,SAMD4B,SAV1
PON2,NBEAL2,MKI67,SAPCD2,SCARB1
POU2F1,NCF1,MKRN3,SCD,SCARF1
PLPP3,NCF2,MLF1,SCEL,SCGB3A1
PPARA,NCF4,MLLT11,SCFD2,SDCBP
PPFIA1,NCKAP1L,MME,SCN1A,SDCBP2
PPIL6,NCKAP5L,MMP11,SCRG1,CAVIN2
PPP1R12A,NCOA3,MMP24,SDC3,SEC61B
PPP1R1A,NDST2,MN1,SDR42E1,SEC61G
PPP1R3C,NECAP2,MND1,SECISBP2L,SECTM1
PPP1R3G,NEK6,MOAP1,SEMA3E,SELE
PPP2R2B,NEK7,MORC2,SEMA4D,SELP
PPP2R3A,NEURL1,MPPED1,SEMA4F,SEMA3G
PPP2R5A,NEURL3,MPPED2,SEMA5A,SEMA4C
PPWD1,NFAM1,MRAP2,SEMA6A,SEMA7A
PRDM16,NFATC1,MRGBP,SEPTIN4,SELENOP
PRDX6,NFATC2,MSL1,SEPTIN8,SEPTIN1
PREX1,NFE2,MST1R,SERINC2,SEPTIN10
PRKD1,NFKB1,MSTN,SERPINA3,SERPINA1
PRKDC,NFKB2,MAP1B,SERPINB1,SERPINB6
PROCA1,NFKBIB,MAP6,SERPIND1,SERPINB9
PRODH,NFKBID,MAP7D2,SERPINE2,SERPINH1
PRPF38B,NFKBIE,MTFP1,SGCD,SERTAD1
PRPF39,NFKBIZ,MTSS1,SGCZ,SESTD1
PRPF4B,NFXL1,MTUS2,SGK2,SGMS1
PRRC2C,NFYA,MUC6,SH3BP4,SGMS2
PRRX2,NHP2,PWWP3A,SH3D19,SGPP2
PRSS35,HCAR2,MYH8,SH3GL3,SH3BGRL
PRSS45P,NINJ1,MYL6B,SH3RF1,SH3BP5
PSD2,NKG7,MYO5B,SHC4,SH3TC2
PSPH,NLRC4,MYO9A,SHISA7,SHE
PTAR1,NLRP1,MYT1,SHROOM2,SEM1
PTCH1,NLRP3,MYT1L,SHROOM3,SHROOM1
PTCH2,NME4,PHF24,SIRT2,SHROOM4
PTDSS2,NMT1,NANOS1,SI,SIGIRR
PTN,NOD2,NANOS2,SIX4,SLAIN2
PTP4A1,NOP2,NAP1L2,SLAIN1,SLC16A1
HACD3,NPC2,NAP1L3,SLC12A2,SLC16A11
HACD2,NRAP,NAPB,SLC16A8,SLC16A13
PTPMT1,NRBF2,NASP,SLC1A1,SLC16A2
PTPN13,NTPCR,NBEA,SLC22A23,SLC16A4
PTPRA,NUAK1,NCAPG,SLC22A3,SLC16A9
PTPRF,NUAK2,NCK2,SLC22A6,SLC19A3
PTPRZ1,NUMB,NCOA2,SLC25A13,SLC22A18
PTX3,NUPR1,NDN,SLC27A3,SLC22A8
PXMP2,OAF,NDRG4,SLC27A6,SLC23A3
PXMP4,OARD1,NDST3,SLC2A13,SLC25A20
PYGB,OAS2,NDST4,SLC35F1,SLC25A24
PYROXD1,OASL,NDUFAF6,SLC41A2,SLC2A1
RAB30,OLFM4,NEB,SLC44A1,SLC30A1
RAB34,OR5V1,NECAB1,SLC44A2,SLC31A1
RAPGEF3,OPHN1,NEDD4L,SLC45A3,SLC31A2
RASA2,ORAI1,NEFH,SLC48A1,SLC35B3
RASGRF1,ORAI3,NEGR1,SLC4A1,SLC35D2
RASGRP1,OSBPL11,NELL1,SLC4A8,SLC35F2
RASL11A,OSGIN1,NELL2,SLC5A11,SLC38A11
RASL11B,P2RX1,NEUROD1,SLC6A13,SLC38A2
RAVER2,P2RX4,NEUROD2,SLC6A19,SLC38A5
RB1,P2RX7,NEUROD6,SLCO3A1,SLC39A10
RBM20,P2RY12,NFIB,SLITRK1,SLC39A8
RBM46,P2RY13,NFIX,SLITRK3,SLC3A2
RBPMS2,P2RY2,NGFR,SLITRK4,SLC40A1
